product_id,category,state,product,elasticity,intercept
Honda (Florida),Sedan,Florida,Honda,-0.4195282920245569,10.75551375900821
Honda (NewYork),Sedan,NewYork,Honda,-0.5249548804193542,11.789472116237455
Hyundai (Florida),Sedan,Florida,Hyundai,-0.6451035188653836,12.902489406547023
Hyundai (NewYork),Sedan,NewYork,Hyundai,-0.5872159596832714,12.144257221107814
Toyota (Florida),Sedan,Florida,Toyota,-0.4516801157504289,10.801543751582269
Toyota (NewYork),Sedan,NewYork,Toyota,-0.5120602025137172,12.707059955394406
Volkswagen (Florida),SmallSUV,Florida,Volkswagen,-0.9900953953658176,12.29104645308332
Volkswagen (NewYork),SmallSUV,NewYork,Volkswagen,-1.079873598662193,9.908954887139107
Mazda (Florida),SmallSUV,Florida,Mazda,-0.9446873823876252,9.255269024416702
Mazda (NewYork),SmallSUV,NewYork,Mazda,-1.018232454803909,11.52665759648826
Chevrolet (Florida),SmallSUV,Florida,Chevrolet,-1.0277293545317892,10.418103872519474
Chevrolet (NewYork),SmallSUV,NewYork,Chevrolet,-0.9666187991988955,12.57248448528879
Tesla (Florida),LargeSUV,Florida,Tesla,-1.3284983466489322,9.77855483140787
Tesla (NewYork),LargeSUV,NewYork,Tesla,-1.1903072443339953,9.175215063148915
Jeep (Florida),LargeSUV,Florida,Jeep,-1.0761802165212035,11.732195812969819
Jeep (NewYork),LargeSUV,NewYork,Jeep,-0.7075057197388617,12.87003892973684
Porsche (Florida),LargeSUV,Florida,Porsche,-1.353672818721461,10.481838824139476
Porsche (NewYork),LargeSUV,NewYork,Porsche,-1.165206173227351,9.757885436337142
