product_id,category,state,product,elasticity,intercept,Hyundai (Florida),Toyota (Florida),Hyundai (NewYork),Toyota (NewYork),Honda (Florida),Honda (NewYork),Mazda (Florida),Chevrolet (Florida),Mazda (NewYork),Chevrolet (NewYork),Volkswagen (Florida),Volkswagen (NewYork),Jeep (Florida),Porsche (Florida),Jeep (NewYork),Porsche (NewYork),Tesla (Florida),Tesla (NewYork)
Honda (Florida),Sedan,Florida,Honda,-0.4195282920245569,10.75551375900821,0.34772105084690247,0.3331968704607494,,,,,,,,,,,,,,,,
Honda (NewYork),Sedan,NewYork,Honda,-0.5249548804193542,11.789472116237455,,,0.3335103756861752,0.363011855756494,,,,,,,,,,,,,,
Hyundai (Florida),Sedan,Florida,Hyundai,-0.6451035188653836,12.902489406547023,,0.3608630853661039,,,0.3648650834240688,,,,,,,,,,,,,
Hyundai (NewYork),Sedan,NewYork,Hyundai,-0.5872159596832714,12.144257221107814,,,,0.3546432264613344,,0.3366898058542261,,,,,,,,,,,,
Toyota (Florida),Sedan,Florida,Toyota,-0.4516801157504289,10.801543751582269,0.35437377193458025,,,,0.35233371618281456,,,,,,,,,,,,,
Toyota (NewYork),Sedan,NewYork,Toyota,-0.5120602025137172,12.707059955394406,,,0.35447191097549363,,,0.3674285755589638,,,,,,,,,,,,
Volkswagen (Florida),SmallSUV,Florida,Volkswagen,-0.9900953953658176,12.29104645308332,,,,,,,0.2407348137843137,0.2040547441693335,,,,,,,,,,
Volkswagen (NewYork),SmallSUV,NewYork,Volkswagen,-1.079873598662193,9.908954887139107,,,,,,,,,0.21734716392139905,0.23787729355031242,,,,,,,,
Mazda (Florida),SmallSUV,Florida,Mazda,-0.9446873823876252,9.255269024416702,,,,,,,,0.18081972701856194,,,0.11257065080866002,,,,,,,
Mazda (NewYork),SmallSUV,NewYork,Mazda,-1.018232454803909,11.52665759648826,,,,,,,,,,0.1616673291053995,,0.1717776407424323,,,,,,
Chevrolet (Florida),SmallSUV,Florida,Chevrolet,-1.0277293545317892,10.418103872519474,,,,,,,0.2896964786740638,,,,0.18349146492639898,,,,,,,
Chevrolet (NewYork),SmallSUV,NewYork,Chevrolet,-0.9666187991988955,12.57248448528879,,,,,,,,,0.25809670127548884,,,0.14805013305840542,,,,,,
Tesla (Florida),LargeSUV,Florida,Tesla,-1.3284983466489322,9.77855483140787,,,,,,,,,,,,,0.0,0.0,,,,
Tesla (NewYork),LargeSUV,NewYork,Tesla,-1.1903072443339953,9.175215063148915,,,,,,,,,,,,,,,0.013020245208400448,0.046897786508742254,,
Jeep (Florida),LargeSUV,Florida,Jeep,-1.0761802165212035,11.732195812969819,,,,,,,,,,,,,,0.06346777881599402,,,0.0568981263834284,
Jeep (NewYork),LargeSUV,NewYork,Jeep,-0.7075057197388617,12.87003892973684,,,,,,,,,,,,,,,,0.0,,0.0
Porsche (Florida),LargeSUV,Florida,Porsche,-1.353672818721461,10.481838824139476,,,,,,,,,,,,,0.0,,,,0.06863807050057232,
Porsche (NewYork),LargeSUV,NewYork,Porsche,-1.165206173227351,9.757885436337142,,,,,,,,,,,,,,,0.0,,,0.0
