week,product_id,product,category,state,price,quantity,log_price,log_quantity,seasonality,elasticity,intercept
0,Honda (Florida),Honda,Sedan,Florida,373.24,257374,5.9222,12.4583,0.0,-0.4195282920245569,10.75551375900821
1,Honda (Florida),Honda,Sedan,Florida,384.19,270984,5.9511,12.5098,0.1205,-0.4195282920245569,10.75551375900821
2,Honda (Florida),Honda,Sedan,Florida,381.54,254140,5.9442,12.4456,0.2393,-0.4195282920245569,10.75551375900821
3,Honda (Florida),Honda,Sedan,Florida,375.51,388983,5.9283,12.8713,0.3546,-0.4195282920245569,10.75551375900821
4,Honda (Florida),Honda,Sedan,Florida,372.34,274539,5.9198,12.5228,0.4647,-0.4195282920245569,10.75551375900821
5,Honda (Florida),Honda,Sedan,Florida,347.47,294476,5.8507,12.593,0.5681,-0.4195282920245569,10.75551375900821
6,Honda (Florida),Honda,Sedan,Florida,345.94,242143,5.8463,12.3973,0.6631,-0.4195282920245569,10.75551375900821
7,Honda (Florida),Honda,Sedan,Florida,351.1,280152,5.8611,12.5431,0.7485,-0.4195282920245569,10.75551375900821
8,Honda (Florida),Honda,Sedan,Florida,385.14,335502,5.9536,12.7234,0.823,-0.4195282920245569,10.75551375900821
9,Honda (Florida),Honda,Sedan,Florida,386.8,250640,5.9579,12.4318,0.8855,-0.4195282920245569,10.75551375900821
10,Honda (Florida),Honda,Sedan,Florida,344.19,239928,5.8412,12.3881,0.935,-0.4195282920245569,10.75551375900821
11,Honda (Florida),Honda,Sedan,Florida,342.58,314889,5.8365,12.66,0.9709,-0.4195282920245569,10.75551375900821
12,Honda (Florida),Honda,Sedan,Florida,392.87,356647,5.9735,12.7845,0.9927,-0.4195282920245569,10.75551375900821
13,Honda (Florida),Honda,Sedan,Florida,410.26,307904,6.0168,12.6375,1.0,-0.4195282920245569,10.75551375900821
14,Honda (Florida),Honda,Sedan,Florida,393.96,297527,5.9762,12.6033,0.9927,-0.4195282920245569,10.75551375900821
15,Honda (Florida),Honda,Sedan,Florida,405.78,239904,6.0058,12.388,0.9709,-0.4195282920245569,10.75551375900821
16,Honda (Florida),Honda,Sedan,Florida,391.0,319947,5.9687,12.6759,0.935,-0.4195282920245569,10.75551375900821
17,Honda (Florida),Honda,Sedan,Florida,365.41,333432,5.901,12.7172,0.8855,-0.4195282920245569,10.75551375900821
18,Honda (Florida),Honda,Sedan,Florida,359.1,253157,5.8836,12.4418,0.823,-0.4195282920245569,10.75551375900821
19,Honda (Florida),Honda,Sedan,Florida,360.74,358019,5.8882,12.7883,0.7485,-0.4195282920245569,10.75551375900821
20,Honda (Florida),Honda,Sedan,Florida,328.51,351976,5.7946,12.7713,0.6631,-0.4195282920245569,10.75551375900821
21,Honda (Florida),Honda,Sedan,Florida,310.16,370866,5.7371,12.8236,0.5681,-0.4195282920245569,10.75551375900821
22,Honda (Florida),Honda,Sedan,Florida,310.32,340011,5.7376,12.7367,0.4647,-0.4195282920245569,10.75551375900821
23,Honda (Florida),Honda,Sedan,Florida,304.06,337480,5.7172,12.7293,0.3546,-0.4195282920245569,10.75551375900821
24,Honda (Florida),Honda,Sedan,Florida,310.12,306584,5.737,12.6332,0.2393,-0.4195282920245569,10.75551375900821
25,Honda (Florida),Honda,Sedan,Florida,291.84,328498,5.6762,12.7023,0.1205,-0.4195282920245569,10.75551375900821
26,Honda (Florida),Honda,Sedan,Florida,302.45,220074,5.7119,12.3017,-0.0,-0.4195282920245569,10.75551375900821
27,Honda (Florida),Honda,Sedan,Florida,285.07,232606,5.6527,12.3571,-0.1205,-0.4195282920245569,10.75551375900821
28,Honda (Florida),Honda,Sedan,Florida,309.47,246107,5.7349,12.4135,-0.2393,-0.4195282920245569,10.75551375900821
29,Honda (Florida),Honda,Sedan,Florida,284.03,262233,5.6491,12.477,-0.3546,-0.4195282920245569,10.75551375900821
30,Honda (Florida),Honda,Sedan,Florida,268.93,284759,5.5945,12.5594,-0.4647,-0.4195282920245569,10.75551375900821
31,Honda (Florida),Honda,Sedan,Florida,274.6,260463,5.6153,12.4702,-0.5681,-0.4195282920245569,10.75551375900821
32,Honda (Florida),Honda,Sedan,Florida,298.43,267386,5.6985,12.4964,-0.6631,-0.4195282920245569,10.75551375900821
33,Honda (Florida),Honda,Sedan,Florida,303.17,260862,5.7143,12.4717,-0.7485,-0.4195282920245569,10.75551375900821
34,Honda (Florida),Honda,Sedan,Florida,311.82,199644,5.7424,12.2043,-0.823,-0.4195282920245569,10.75551375900821
35,Honda (Florida),Honda,Sedan,Florida,312.1,228608,5.7433,12.3398,-0.8855,-0.4195282920245569,10.75551375900821
36,Honda (Florida),Honda,Sedan,Florida,296.48,201236,5.692,12.2122,-0.935,-0.4195282920245569,10.75551375900821
37,Honda (Florida),Honda,Sedan,Florida,289.3,216038,5.6675,12.2832,-0.9709,-0.4195282920245569,10.75551375900821
38,Honda (Florida),Honda,Sedan,Florida,272.29,238344,5.6069,12.3815,-0.9927,-0.4195282920245569,10.75551375900821
39,Honda (Florida),Honda,Sedan,Florida,255.43,159313,5.5429,11.9786,-1.0,-0.4195282920245569,10.75551375900821
40,Honda (Florida),Honda,Sedan,Florida,260.61,320251,5.563,12.6769,-0.9927,-0.4195282920245569,10.75551375900821
41,Honda (Florida),Honda,Sedan,Florida,246.38,258778,5.5069,12.4637,-0.9709,-0.4195282920245569,10.75551375900821
42,Honda (Florida),Honda,Sedan,Florida,250.35,215805,5.5229,12.2821,-0.935,-0.4195282920245569,10.75551375900821
43,Honda (Florida),Honda,Sedan,Florida,234.57,308636,5.4578,12.6399,-0.8855,-0.4195282920245569,10.75551375900821
44,Honda (Florida),Honda,Sedan,Florida,238.07,238013,5.4726,12.3801,-0.823,-0.4195282920245569,10.75551375900821
45,Honda (Florida),Honda,Sedan,Florida,232.33,266010,5.4481,12.4913,-0.7485,-0.4195282920245569,10.75551375900821
46,Honda (Florida),Honda,Sedan,Florida,249.26,247599,5.5185,12.4196,-0.6631,-0.4195282920245569,10.75551375900821
47,Honda (Florida),Honda,Sedan,Florida,253.32,314389,5.5347,12.6584,-0.5681,-0.4195282920245569,10.75551375900821
48,Honda (Florida),Honda,Sedan,Florida,269.47,244414,5.5965,12.4066,-0.4647,-0.4195282920245569,10.75551375900821
49,Honda (Florida),Honda,Sedan,Florida,259.48,262837,5.5587,12.4793,-0.3546,-0.4195282920245569,10.75551375900821
50,Honda (Florida),Honda,Sedan,Florida,260.21,293974,5.5615,12.5912,-0.2393,-0.4195282920245569,10.75551375900821
51,Honda (Florida),Honda,Sedan,Florida,247.75,287593,5.5124,12.5693,-0.1205,-0.4195282920245569,10.75551375900821
52,Honda (Florida),Honda,Sedan,Florida,242.68,287329,5.4917,12.5684,0.0,-0.4195282920245569,10.75551375900821
53,Honda (Florida),Honda,Sedan,Florida,239.52,342805,5.4786,12.7449,0.1205,-0.4195282920245569,10.75551375900821
54,Honda (Florida),Honda,Sedan,Florida,230.98,402678,5.4423,12.9059,0.2393,-0.4195282920245569,10.75551375900821
55,Honda (Florida),Honda,Sedan,Florida,217.36,326901,5.3816,12.6974,0.3546,-0.4195282920245569,10.75551375900821
56,Honda (Florida),Honda,Sedan,Florida,202.53,335409,5.3109,12.7231,0.4647,-0.4195282920245569,10.75551375900821
57,Honda (Florida),Honda,Sedan,Florida,180.17,355523,5.1939,12.7813,0.5681,-0.4195282920245569,10.75551375900821
58,Honda (Florida),Honda,Sedan,Florida,170.9,438366,5.1411,12.9908,0.6631,-0.4195282920245569,10.75551375900821
59,Honda (Florida),Honda,Sedan,Florida,176.35,346177,5.1725,12.7547,0.7485,-0.4195282920245569,10.75551375900821
60,Honda (Florida),Honda,Sedan,Florida,162.8,380989,5.0925,12.8505,0.823,-0.4195282920245569,10.75551375900821
61,Honda (Florida),Honda,Sedan,Florida,152.04,329609,5.0241,12.7057,0.8855,-0.4195282920245569,10.75551375900821
62,Honda (Florida),Honda,Sedan,Florida,166.28,338108,5.1137,12.7311,0.935,-0.4195282920245569,10.75551375900821
63,Honda (Florida),Honda,Sedan,Florida,161.07,376825,5.0819,12.8395,0.9709,-0.4195282920245569,10.75551375900821
64,Honda (Florida),Honda,Sedan,Florida,163.68,417644,5.0979,12.9424,0.9927,-0.4195282920245569,10.75551375900821
65,Honda (Florida),Honda,Sedan,Florida,169.02,512367,5.13,13.1468,1.0,-0.4195282920245569,10.75551375900821
66,Honda (Florida),Honda,Sedan,Florida,174.71,440301,5.1632,12.9952,0.9927,-0.4195282920245569,10.75551375900821
67,Honda (Florida),Honda,Sedan,Florida,161.91,367331,5.087,12.814,0.9709,-0.4195282920245569,10.75551375900821
68,Honda (Florida),Honda,Sedan,Florida,160.05,379656,5.0755,12.847,0.935,-0.4195282920245569,10.75551375900821
69,Honda (Florida),Honda,Sedan,Florida,147.61,487114,4.9946,13.0963,0.8855,-0.4195282920245569,10.75551375900821
70,Honda (Florida),Honda,Sedan,Florida,166.82,437064,5.1169,12.9878,0.823,-0.4195282920245569,10.75551375900821
71,Honda (Florida),Honda,Sedan,Florida,154.03,406487,5.0371,12.9153,0.7485,-0.4195282920245569,10.75551375900821
72,Honda (Florida),Honda,Sedan,Florida,146.17,397443,4.9848,12.8928,0.6631,-0.4195282920245569,10.75551375900821
73,Honda (Florida),Honda,Sedan,Florida,138.76,481982,4.9327,13.0857,0.5681,-0.4195282920245569,10.75551375900821
74,Honda (Florida),Honda,Sedan,Florida,128.75,364070,4.8579,12.8051,0.4647,-0.4195282920245569,10.75551375900821
75,Honda (Florida),Honda,Sedan,Florida,137.76,419086,4.9255,12.9458,0.3546,-0.4195282920245569,10.75551375900821
76,Honda (Florida),Honda,Sedan,Florida,155.5,487127,5.0466,13.0963,0.2393,-0.4195282920245569,10.75551375900821
77,Honda (Florida),Honda,Sedan,Florida,151.84,380198,5.0229,12.8484,0.1205,-0.4195282920245569,10.75551375900821
78,Honda (Florida),Honda,Sedan,Florida,142.14,349259,4.9568,12.7636,0.0,-0.4195282920245569,10.75551375900821
79,Honda (Florida),Honda,Sedan,Florida,127.1,423933,4.845,12.9573,-0.1205,-0.4195282920245569,10.75551375900821
80,Honda (Florida),Honda,Sedan,Florida,125.56,370723,4.8328,12.8232,-0.2393,-0.4195282920245569,10.75551375900821
81,Honda (Florida),Honda,Sedan,Florida,123.59,334954,4.817,12.7217,-0.3546,-0.4195282920245569,10.75551375900821
82,Honda (Florida),Honda,Sedan,Florida,119.63,423867,4.7844,12.9572,-0.4647,-0.4195282920245569,10.75551375900821
83,Honda (Florida),Honda,Sedan,Florida,120.96,435309,4.7955,12.9838,-0.5681,-0.4195282920245569,10.75551375900821
84,Honda (Florida),Honda,Sedan,Florida,123.37,351042,4.8152,12.7687,-0.6631,-0.4195282920245569,10.75551375900821
85,Honda (Florida),Honda,Sedan,Florida,125.38,335990,4.8314,12.7248,-0.7485,-0.4195282920245569,10.75551375900821
86,Honda (Florida),Honda,Sedan,Florida,123.42,313495,4.8156,12.6555,-0.823,-0.4195282920245569,10.75551375900821
87,Honda (Florida),Honda,Sedan,Florida,116.8,352006,4.7605,12.7714,-0.8855,-0.4195282920245569,10.75551375900821
88,Honda (Florida),Honda,Sedan,Florida,120.76,324874,4.7938,12.6912,-0.935,-0.4195282920245569,10.75551375900821
89,Honda (Florida),Honda,Sedan,Florida,120.83,297766,4.7944,12.6041,-0.9709,-0.4195282920245569,10.75551375900821
90,Honda (Florida),Honda,Sedan,Florida,126.32,410828,4.8388,12.9259,-0.9927,-0.4195282920245569,10.75551375900821
91,Honda (Florida),Honda,Sedan,Florida,131.41,343291,4.8783,12.7463,-1.0,-0.4195282920245569,10.75551375900821
92,Honda (Florida),Honda,Sedan,Florida,122.39,346589,4.8072,12.7559,-0.9927,-0.4195282920245569,10.75551375900821
93,Honda (Florida),Honda,Sedan,Florida,113.92,367987,4.7355,12.8158,-0.9709,-0.4195282920245569,10.75551375900821
94,Honda (Florida),Honda,Sedan,Florida,109.7,376064,4.6978,12.8375,-0.935,-0.4195282920245569,10.75551375900821
95,Honda (Florida),Honda,Sedan,Florida,104.06,334082,4.6449,12.7191,-0.8855,-0.4195282920245569,10.75551375900821
96,Honda (Florida),Honda,Sedan,Florida,108.06,375449,4.6827,12.8359,-0.823,-0.4195282920245569,10.75551375900821
97,Honda (Florida),Honda,Sedan,Florida,109.98,355446,4.7003,12.7811,-0.7485,-0.4195282920245569,10.75551375900821
98,Honda (Florida),Honda,Sedan,Florida,116.19,371299,4.7552,12.8248,-0.6631,-0.4195282920245569,10.75551375900821
99,Honda (Florida),Honda,Sedan,Florida,118.52,372006,4.7751,12.8267,-0.5681,-0.4195282920245569,10.75551375900821
100,Honda (Florida),Honda,Sedan,Florida,119.76,329837,4.7855,12.7064,-0.4647,-0.4195282920245569,10.75551375900821
101,Honda (Florida),Honda,Sedan,Florida,127.16,296502,4.8455,12.5998,-0.3546,-0.4195282920245569,10.75551375900821
102,Honda (Florida),Honda,Sedan,Florida,130.19,366938,4.869,12.8129,-0.2393,-0.4195282920245569,10.75551375900821
103,Honda (Florida),Honda,Sedan,Florida,130.63,354262,4.8724,12.7778,-0.1205,-0.4195282920245569,10.75551375900821
0,Honda (NewYork),Honda,Sedan,NewYork,308.29,379001,5.731,12.8453,0.0,-0.5249548804193542,11.789472116237455
1,Honda (NewYork),Honda,Sedan,NewYork,303.63,534740,5.7158,13.1895,0.1205,-0.5249548804193542,11.789472116237455
2,Honda (NewYork),Honda,Sedan,NewYork,291.18,587614,5.6739,13.2838,0.2393,-0.5249548804193542,11.789472116237455
3,Honda (NewYork),Honda,Sedan,NewYork,301.59,690668,5.7091,13.4454,0.3546,-0.5249548804193542,11.789472116237455
4,Honda (NewYork),Honda,Sedan,NewYork,320.84,454978,5.7709,13.028,0.4647,-0.5249548804193542,11.789472116237455
5,Honda (NewYork),Honda,Sedan,NewYork,320.03,458347,5.7684,13.0354,0.5681,-0.5249548804193542,11.789472116237455
6,Honda (NewYork),Honda,Sedan,NewYork,341.65,425485,5.8338,12.961,0.6631,-0.5249548804193542,11.789472116237455
7,Honda (NewYork),Honda,Sedan,NewYork,309.6,541844,5.7353,13.2027,0.7485,-0.5249548804193542,11.789472116237455
8,Honda (NewYork),Honda,Sedan,NewYork,308.75,556632,5.7325,13.2297,0.823,-0.5249548804193542,11.789472116237455
9,Honda (NewYork),Honda,Sedan,NewYork,308.13,508599,5.7305,13.1394,0.8855,-0.5249548804193542,11.789472116237455
10,Honda (NewYork),Honda,Sedan,NewYork,297.13,535990,5.6942,13.1919,0.935,-0.5249548804193542,11.789472116237455
11,Honda (NewYork),Honda,Sedan,NewYork,334.74,394506,5.8134,12.8854,0.9709,-0.5249548804193542,11.789472116237455
12,Honda (NewYork),Honda,Sedan,NewYork,333.64,555301,5.8101,13.2273,0.9927,-0.5249548804193542,11.789472116237455
13,Honda (NewYork),Honda,Sedan,NewYork,326.9,462837,5.7897,13.0451,1.0,-0.5249548804193542,11.789472116237455
14,Honda (NewYork),Honda,Sedan,NewYork,327.33,510840,5.791,13.1438,0.9927,-0.5249548804193542,11.789472116237455
15,Honda (NewYork),Honda,Sedan,NewYork,296.14,438521,5.6908,12.9912,0.9709,-0.5249548804193542,11.789472116237455
16,Honda (NewYork),Honda,Sedan,NewYork,285.1,470050,5.6528,13.0606,0.935,-0.5249548804193542,11.789472116237455
17,Honda (NewYork),Honda,Sedan,NewYork,299.46,462407,5.702,13.0442,0.8855,-0.5249548804193542,11.789472116237455
18,Honda (NewYork),Honda,Sedan,NewYork,290.19,476103,5.6705,13.0734,0.823,-0.5249548804193542,11.789472116237455
19,Honda (NewYork),Honda,Sedan,NewYork,278.41,502453,5.6291,13.1273,0.7485,-0.5249548804193542,11.789472116237455
20,Honda (NewYork),Honda,Sedan,NewYork,297.25,567048,5.6946,13.2482,0.6631,-0.5249548804193542,11.789472116237455
21,Honda (NewYork),Honda,Sedan,NewYork,317.85,503729,5.7616,13.1298,0.5681,-0.5249548804193542,11.789472116237455
22,Honda (NewYork),Honda,Sedan,NewYork,326.18,507932,5.7874,13.1381,0.4647,-0.5249548804193542,11.789472116237455
23,Honda (NewYork),Honda,Sedan,NewYork,318.84,522615,5.7647,13.1666,0.3546,-0.5249548804193542,11.789472116237455
24,Honda (NewYork),Honda,Sedan,NewYork,315.04,463090,5.7527,13.0457,0.2393,-0.5249548804193542,11.789472116237455
